id	qa_state_before	source_text	category	wav_path	file_size_bytes	duration_ms	sample_rate_hz	channels	bit_depth	peak	rms	leading_silence_ms	trailing_silence_ms	max_internal_silence_ms	technical_result	technical_flags	human_result	human_notes
es.audio.phrase.voy_en_metro	generated	Voy en metro.	communicativeChunk	assets/languages/spanish/audio/reference/es.audio.phrase.voy_en_metro.wav	41004	929	22050	1	16	0.999969	0.200260	13	25	11	ok		pending
es.audio.phrase.voy_a_pie	generated	Voy a pie.	communicativeChunk	assets/languages/spanish/audio/reference/es.audio.phrase.voy_a_pie.wav	33836	766	22050	1	16	0.999969	0.234731	12	0	10	ok		pending
es.audio.question.donde_esta_la_estacion	generated	¿Dónde está la estación?	listeningStimulus	assets/languages/spanish/audio/reference/es.audio.question.donde_esta_la_estacion.wav	66092	1498	22050	1	16	0.999969	0.156234	10	22	48	ok		pending
es.audio.phrase.esta_cerca	generated	Está cerca.	communicativeChunk	assets/languages/spanish/audio/reference/es.audio.phrase.esta_cerca.wav	36908	836	22050	1	16	0.999969	0.099414	12	13	23	ok		pending
es.audio.phrase.esta_lejos	generated	Está lejos.	communicativeChunk	assets/languages/spanish/audio/reference/es.audio.phrase.esta_lejos.wav	37420	848	22050	1	16	0.999969	0.130375	12	39	39	ok		pending
es.audio.question.como_llego_al_hotel	generated	¿Cómo llego al hotel?	listeningStimulus	assets/languages/spanish/audio/reference/es.audio.question.como_llego_al_hotel.wav	47660	1080	22050	1	16	0.999969	0.193938	0	4	12	ok		pending
es.audio.phrase.sigue_recto	generated	Sigue recto.	communicativeChunk	assets/languages/spanish/audio/reference/es.audio.phrase.sigue_recto.wav	40492	917	22050	1	16	0.999969	0.148686	17	18	81	ok		pending
es.audio.phrase.gira_a_la_izquierda	generated	Gira a la izquierda.	communicativeChunk	assets/languages/spanish/audio/reference/es.audio.phrase.gira_a_la_izquierda.wav	60460	1370	22050	1	16	0.999969	0.156608	0	73	48	ok		pending
es.audio.phrase.gira_a_la_derecha	generated	Gira a la derecha.	communicativeChunk	assets/languages/spanish/audio/reference/es.audio.phrase.gira_a_la_derecha.wav	50220	1138	22050	1	16	0.999969	0.172784	21	32	7	ok		pending
es.audio.phrase.toma_el_metro	generated	Toma el metro.	communicativeChunk	assets/languages/spanish/audio/reference/es.audio.phrase.toma_el_metro.wav	39980	906	22050	1	16	0.999969	0.175770	10	52	8	ok		pending
